account_id,account_name,domain,industry,employee_range,country,lifecycle_stage,created_date,last_activity_date,owner,arr_eur,renewal_date,created_date_parsed,created_date_format,last_activity_date_parsed,last_activity_date_format,renewal_date_parsed,renewal_date_format,country_clean,domain_clean,domain_root,domain_source,has_domain,name_norm,dup_marker,last_activity_flag,entity_id,is_master,merged_into
ACC-007793,GrimoviaLogistics,grimovialogistics.com,Logistics,201-500,FR,lead,20/01/2019,10/21/24,,,,2019-01-20,dmy,2024-10-21,mdy,,empty,FR,grimovialogistics.com,grimovialogistics,declared,1,grimovialogistics,,,ENT-06987,0,ACC-004620
ACC-023587,SylvavenLogic SAS,sylvavenlogic.fr,Construction,5000+,Spain,lead,2024-11-07,21/01/2026,,,,2024-11-07,iso,2026-01-21,dmy,,empty,ES,sylvavenlogic.fr,sylvavenlogic,declared,1,sylvavenlogic,,,ENT-16763,1,
ACC-003612,FabriLab,fabrilab.co,Education,11-50,Italie,lead,03/10/22,2024-04-14,,,,2022-03-10,mdy,2024-04-14,iso,,empty,IT,fabrilab.co,fabrilab,declared,1,fabrilab,,,ENT-05110,1,
ACC-001453,Delficalflow,delficalflow.fr,Construction,51-200,Spain,customer,2024-07-25,10/02/25,p.lindqvist,12000,01/13/27,2024-07-25,iso,2025-10-02,mdy,2027-01-13,mdy,ES,delficalflow.fr,delficalflow,declared,1,delficalflow,,,ENT-03337,1,
ACC-002998,Neopralogic,neopralogic.fr,Energy,51-200,Netherlands,lost,10/12/2018,05/11/25,a.morel,,,2018-12-10,dmy,2025-05-11,mdy,,empty,NL,neopralogic.fr,neopralogic,declared,1,neopralogic,,,ENT-11338,0,ACC-024521
ACC-017037,Novacalpartners France,novacalpartners.com,Real Estate,501-1000,FR,prospect,27/04/2023,27/04/2024,p.lindqvist,,,2023-04-27,dmy,2024-04-27,dmy,,empty,FR,novacalpartners.com,novacalpartners,declared,1,novacalpartners,,,ENT-11936,1,
ACC-011747,AltanexHub,altanexhub.co,Real Estate,201-500,Belgium,lost,20/04/2023,28/08/2023,s.okafor,,,2023-04-20,dmy,2023-08-28,dmy,,empty,BE,altanexhub.co,altanexhub,declared,1,altanexhub,,,ENT-00242,0,ACC-019452
ACC-009436,VectofinTech,vectofintech.com,Agriculture,11-50,France,prospect,02/27/22,2023-01-24,l.moreau,,,2022-02-27,mdy,2023-01-24,iso,,empty,FR,vectofintech.com,vectofintech,declared,1,vectofintech,,,ENT-18142,1,
ACC-007868,Rapivenservices France,rapivenservices.co,Automotive,11-50,france,churned,2024-10-24,02/20/25,,3000,,2024-10-24,iso,2025-02-20,mdy,,empty,FR,rapivenservices.co,rapivenservices,declared,1,rapivenservices,,,ENT-14729,1,
ACC-024664,Kelvifinworks Group,kelvifinworks.com,Media,1-10,Netherlands,prospect,06/12/22,23/03/2026,m.delacroix,,,2022-06-12,mdy,2026-03-23,dmy,,empty,NL,kelvifinworks.com,kelvifinworks,declared,1,kelvifinworks,,,ENT-09125,1,
ACC-012240,Gallirinforge,gallirinforge.com,Agriculture,501-1000,France,lead,09/07/18,,,,,2018-09-07,mdy,,empty,,empty,FR,gallirinforge.com,gallirinforge,declared,1,gallirinforge,,,ENT-06472,1,
ACC-028396,SereninexServices,sereninexservices.fr,Financial Services,501-1000,france,prospect,22/05/2019,10/19/20,,,,2019-05-22,dmy,2020-10-19,mdy,,empty,FR,sereninexservices.fr,sereninexservices,declared,1,sereninexservices,,,ENT-15411,1,
ACC-014361,VertiviaEnergie & Co,vertiviaenergie.com,Media,11-50,BE,customer,2024-10-14,2025-03-28,a.morel,12000,12/25/26,2024-10-14,iso,2025-03-28,iso,2026-12-25,mdy,BE,vertiviaenergie.com,vertiviaenergie,declared,1,vertiviaenergie,,,ENT-18854,1,
ACC-012211,Ardensoldata & Co,ardensoldata.com,Healthcare,51-200,DE,lost,04/19/20,05/12/2023,p.lindqvist,,,2020-04-19,mdy,2023-12-05,dmy,,empty,DE,ardensoldata.com,ardensoldata,declared,1,ardensoldata,,,ENT-00753,1,
ACC-009487,SereninexSoft,sereninexsoft.com,Consulting,1-10,France,lead,08/15/18,2021-05-16,j.vandenberg,,,2018-08-15,mdy,2021-05-16,iso,,empty,FR,sereninexsoft.com,sereninexsoft,declared,1,sereninexsoft,,,ENT-15412,1,
ACC-003126,IvoromarConseil,ivoromarconseil.fr,Software,51-200,Fr,lost,2020-02-20,,a.morel,,,2020-02-20,iso,,empty,,empty,FR,ivoromarconseil.fr,ivoromarconseil,declared,1,ivoromarconseil,,,ENT-08417,0,ACC-027679
ACC-029867,PerrivenFinance,www.perrivenfinance.eu,Construction,11-50,france,prospect,2019-07-12,,,,,2019-07-12,iso,,empty,,empty,FR,perrivenfinance.eu,perrivenfinance,declared,1,perrivenfinance,,,ENT-13498,1,
ACC-029369,Flexigorpharma - import,flexigorpharma.co,Retail,11-50,belgium,lost,08/08/2022,,c.rinaldi,,,2022-08-08,dmy,,empty,,empty,BE,flexigorpharma.co,flexigorpharma,declared,1,flexigorpharma,import,,ENT-05893,0,ACC-015236
ACC-001043,Delfigroup France,www.delfigroup.co,Automotive,,UK,lost,09/05/2018,03/10/20,m.delacroix,,,2018-05-09,dmy,2020-03-10,mdy,,empty,GB,delfigroup.co,delfigroup,declared,1,delfigroup,,,ENT-03429,0,ACC-011489
ACC-023337,SylvaLabs France,sylvalabs.com,Consulting,,Fr,lost,10/03/23,11/01/2026,s.okafor,,,2023-10-03,mdy,2026-01-11,dmy,,empty,FR,sylvalabs.com,sylvalabs,declared,1,sylvalabs,,,ENT-16550,0,ACC-018753
ACC-027938,Serenitaslabs,serenitaslabs.io,Agriculture,51-200,Allemagne,prospect,2021-12-04,11/06/24,j.vandenberg,,,2021-12-04,iso,2024-11-06,mdy,,empty,DE,serenitaslabs.io,serenitaslabs,declared,1,serenitaslabs,,,ENT-15529,1,
ACC-016726,Ardengormobility SARL,ardengormobility.com,Consulting,51-200,France,lead,13/07/2019,,,,,2019-07-13,dmy,,empty,,empty,FR,ardengormobility.com,ardengormobility,declared,1,ardengormobility,,,ENT-00550,1,
ACC-023238,NovasolEnergie,novasolenergie.com,Construction,51-200,FRANCE,lead,23/05/2023,09/28/24,j.vandenberg,,,2023-05-23,dmy,2024-09-28,mdy,,empty,FR,novasolenergie.com,novasolenergie,declared,1,novasolenergie,,,ENT-12218,0,ACC-020890
ACC-029436,Talocalmedia,talocalmedia.io,Real Estate,51-200,FRANCE,lead,24/03/2023,,l.moreau,,,2023-03-24,dmy,,empty,,empty,FR,talocalmedia.io,talocalmedia,declared,1,talocalmedia,,,ENT-16831,0,ACC-021286
ACC-003040,Cendravialogic Group,,Hospitality,51-200,france,customer,05/06/22,11/11/23,,5000,07/08/27,2022-05-06,mdy,2023-11-11,mdy,2027-07-08,mdy,FR,,cendravialogic,inferred_from_contacts,1,cendravialogic,,,ENT-02908,1,
ACC-008405,Fleximarenergie,,,51-200,france,lead,2018-03-06,2024-03-25,,,,2018-03-06,iso,2024-03-25,iso,,empty,FR,,fleximarenergie,inferred_from_contacts,1,fleximarenergie,,,ENT-05969,1,
ACC-017766,IvorobelGroup SA,ivorobelgroup.com,Healthcare,,belgium,lead,05/07/2018,22/03/2026,j.vandenberg,,,2018-07-05,dmy,2026-03-22,dmy,,empty,BE,ivorobelgroup.com,ivorobelgroup,declared,1,ivorobelgroup,,,ENT-08231,1,
ACC-024005,Quantilumsolutions Group,,Real Estate,11-50,Belgique,lost,01/18/21,09/01/2026,,,,2021-01-18,mdy,2026-01-09,dmy,,empty,BE,,quantilumsolutions,inferred_from_contacts,1,quantilumsolutions,,,ENT-14145,1,
ACC-006495,Kelvinexpharma,kelvinexpharma.fr,Consulting,11-50,FRANCE,lead,12/07/23,04/14/24,,,,2023-12-07,mdy,2024-04-14,mdy,,empty,FR,kelvinexpharma.fr,kelvinexpharma,declared,1,kelvinexpharma,,,ENT-09259,0,ACC-016154
ACC-021419,FernorinLogistics,fernorinlogistics.co,Retail,1001-5000,Allemagne,lead,17/08/2020,03/11/25,,,,2020-08-17,dmy,2025-03-11,mdy,,empty,DE,fernorinlogistics.co,fernorinlogistics,declared,1,fernorinlogistics,,,ENT-05682,1,
ACC-001822,GrimoLabs,,Media,51-200,Allemagne,prospect,06/10/2018,02/29/20,m.delacroix,,,2018-10-06,dmy,2020-02-29,mdy,,empty,DE,,grimolabs,inferred_from_contacts,1,grimolabs,,,ENT-06739,1,
ACC-022500,PerrivenFlow,perrivenflow.eu,Healthcare,51-200,FRANCE,churned,2023-04-20,02/11/2025,,5000,,2023-04-20,iso,2025-11-02,dmy,,empty,FR,perrivenflow.eu,perrivenflow,declared,1,perrivenflow,,,ENT-13499,1,
ACC-017201,Talodorpharma France,talodorpharma.fr,Retail,11-50,france,lead,2023-10-22,2025-10-02,,,,2023-10-22,iso,2025-10-02,iso,,empty,FR,talodorpharma.fr,talodorpharma,declared,1,talodorpharma,,,ENT-16862,0,ACC-019857
ACC-021157,Vertilexforge,vertilexforge.eu,,11-50,Espagne,prospect,2021-08-16,,p.lindqvist,,,2021-08-16,iso,,empty,,empty,ES,vertilexforge.eu,vertilexforge,declared,1,vertilexforge,,,ENT-18616,1,
ACC-012101,Zephisolconseil SA,zephisolconseil.io,Telecom,51-200,BE,lead,2018-01-29,2020-07-22,,,,2018-01-29,iso,2020-07-22,iso,,empty,BE,zephisolconseil.io,zephisolconseil,declared,1,zephisolconseil,,,ENT-20428,1,
ACC-004986,StellasolConsulting SA,stellasolconsulting.fr,Logistics,51-200,Spain,lead,2020-04-01,2026-04-10,t.becker,,,2020-04-01,iso,2026-04-10,iso,,empty,ES,stellasolconsulting.fr,stellasolconsulting,declared,1,stellasolconsulting,,,ENT-16314,1,
ACC-019427,WallilumPharma,wallilumpharma.fr,Telecom,51-200,france,churned,2020-02-17,2022-04-17,,8000,2027-04-27,2020-02-17,iso,2022-04-17,iso,2027-04-27,iso,FR,wallilumpharma.fr,wallilumpharma,declared,1,wallilumpharma,,,ENT-19458,1,
ACC-012630,Lumigorretail,lumigorretail.com,Healthcare,501-1000,France,lead,04/15/24,,c.rinaldi,,,2024-04-15,mdy,,empty,,empty,FR,lumigorretail.com,lumigorretail,declared,1,lumigorretail,,,ENT-09972,0,ACC-029665
ACC-017123,Axiorinlab,,Consulting,11-50,FR,lead,05/17/24,11/03/24,c.rinaldi,,,2024-05-17,mdy,2024-11-03,mdy,,empty,FR,,axiorinlab,inferred_from_contacts,1,axiorinlab,,,ENT-01140,0,ACC-010824
ACC-011204,Delfipradata SA,delfipradata.fr,Logistics,51-200,Allemagne,prospect,2026-04-27,06/28/26,c.rinaldi,,,2026-04-27,iso,2026-06-28,mdy,,empty,DE,delfipradata.fr,delfipradata,declared,1,delfipradata,,,ENT-03559,1,
ACC-027245,Dorioviamobility,dorioviamobility.eu,Construction,1001-5000,Fr,prospect,04/16/20,,c.rinaldi,,,2020-04-16,mdy,,empty,,empty,FR,dorioviamobility.eu,dorioviamobility,declared,1,dorioviamobility,,,ENT-04148,1,
ACC-004373,Belforinlogistics France,belforinlogistics.com,Financial Services,51-200,Fr,lost,19/04/2025,2025-06-08,m.delacroix,,,2025-04-19,dmy,2025-06-08,iso,,empty,FR,belforinlogistics.com,belforinlogistics,declared,1,belforinlogistics,,,ENT-01558,0,ACC-027576
ACC-001661,Cortivenlogistics,cortivenlogistics.fr,Software,201-500,Belgium,prospect,07/02/25,2025-09-20,,,,2025-07-02,mdy,2025-09-20,iso,,empty,BE,cortivenlogistics.fr,cortivenlogistics,declared,1,cortivenlogistics,,,ENT-03278,1,
ACC-013791,Vespitasdigital,vespitasdigital.fr,Software,201-500,Fr,lost,24/10/2024,,c.rinaldi,,,2024-10-24,dmy,,empty,,empty,FR,vespitasdigital.fr,vespitasdigital,declared,1,vespitasdigital,,,ENT-19213,0,ACC-021014
ACC-003358,VespirinLogic SAS,vespirinlogic.io,Healthcare,51-200,FR,churned,2025-10-25,03/19/26,p.lindqvist,8000,,2025-10-25,iso,2026-03-19,mdy,,empty,FR,vespirinlogic.io,vespirinlogic,declared,1,vespirinlogic,,,ENT-19175,1,
ACC-009610,CendraDynamics,cendradynamics.eu,Energy,201-500,Fr,lead,2021-05-09,2026-02-17,s.okafor,,,2021-05-09,iso,2026-02-17,iso,,empty,FR,cendradynamics.eu,cendradynamics,declared,1,cendradynamics,,,ENT-02571,0,ACC-003982
ACC-004815,Rapilexlab,rapilexlab.fr,Real Estate,1-10,Netherlands,prospect,2022-06-26,12/09/24,a.morel,,,2022-06-26,iso,2024-12-09,mdy,,empty,NL,rapilexlab.fr,rapilexlab,declared,1,rapilexlab,,,ENT-14508,1,
ACC-005896,Fernonexdynamics,fernonexdynamics.fr,Retail,1001-5000,FR,churned,2022-04-02,01/02/2026,,3000,,2022-04-02,iso,2026-02-01,dmy,,empty,FR,fernonexdynamics.fr,fernonexdynamics,declared,1,fernonexdynamics,,,ENT-05598,1,
ACC-013183,Mavimarfinance SAS,mavimarfinance.eu,Energy,501-1000,France,lost,2018-05-26,2026-06-10,,,,2018-05-26,iso,2026-06-10,iso,,empty,FR,mavimarfinance.eu,mavimarfinance,declared,1,mavimarfinance,,,ENT-10458,1,
ACC-029968,SOLICALDYNAMICS,www.solicaldynamics.eu,Manufacturing,501-1000,Allemagne,lost,09/02/20,,p.lindqvist,,,2020-09-02,mdy,,empty,,empty,DE,solicaldynamics.eu,solicaldynamics,declared,1,solicaldynamics,,,ENT-15606,0,ACC-003168
ACC-025204,StellamarHub Group,stellamarhub.co,Hospitality,11-50,DE,lead,08/01/2024,2025-11-15,c.rinaldi,,,2024-01-08,dmy,2025-11-15,iso,,empty,DE,stellamarhub.co,stellamarhub,declared,1,stellamarhub,,,ENT-16190,0,ACC-021994
ACC-008131,Grimolexenergie SA,grimolexenergie.io,Education,51-200,Allemagne,prospect,06/07/19,07/30/20,p.lindqvist,,,2019-06-07,mdy,2020-07-30,mdy,,empty,DE,grimolexenergie.io,grimolexenergie,declared,1,grimolexenergie,,,ENT-06745,1,
ACC-016484,Estevalexservices Group,estevalexservices.fr,Software,11-50,Fr,lost,06/11/22,2026-07-12,s.okafor,,,2022-06-11,mdy,2026-07-12,iso,,empty,FR,estevalexservices.fr,estevalexservices,declared,1,estevalexservices,,,ENT-04718,0,ACC-027820
ACC-017656,Stellagordynamics SA,stellagordynamics.fr,Manufacturing,11-50,Italy,opportunity,05/10/25,2025-07-20,,,,2025-05-10,mdy,2025-07-20,iso,,empty,IT,stellagordynamics.fr,stellagordynamics,declared,1,stellagordynamics,,,ENT-16084,1,
ACC-010387,TalogorSolutions,,Software,11-50,Italy,lead,23/12/2025,,a.morel,,,2025-12-23,dmy,,empty,,empty,IT,,talogorsolutions,inferred_from_contacts,1,talogorsolutions,,,ENT-16916,0,ACC-019968
ACC-017711,Zephisoft SA,zephisoft.fr,Agriculture,1-10,Fr,lead,26/03/2026,04/13/26,s.okafor,,,2026-03-26,dmy,2026-04-13,mdy,,empty,FR,zephisoft.fr,zephisoft,declared,1,zephisoft,,,ENT-20427,0,ACC-011823
ACC-011286,GrimobelGroup France,grimobelgroup.co,Automotive,201-500,Fr,lead,2026-01-31,02/12/26,c.rinaldi,,,2026-01-31,iso,2026-02-12,mdy,,empty,FR,grimobelgroup.co,grimobelgroup,declared,1,grimobelgroup,,,ENT-06596,1,
ACC-021965,Heliohalworks,heliohalworks.fr,Consulting,51-200,Espagne,lead,06/14/18,,,,,2018-06-14,mdy,,empty,,empty,ES,heliohalworks.fr,heliohalworks,declared,1,heliohalworks,,,ENT-07550,1,
ACC-020012,BriobelConseil France,briobelconseil.co,Energy,11-50,ES,lead,2018-08-29,,s.okafor,,,2018-08-29,iso,,empty,,empty,ES,briobelconseil.co,briobelconseil,declared,1,briobelconseil,,,ENT-01665,0,ACC-013066
ACC-010807,VectosolImmo,vectosolimmo.com,Media,51-200,spain,customer,11/05/22,19/06/2024,,5000,09/10/2026,2022-11-05,mdy,2024-06-19,dmy,2026-10-09,dmy,ES,vectosolimmo.com,vectosolimmo,declared,1,vectosolimmo,,,ENT-18369,1,
ACC-003636,Cortiservices SARL,cortiservices.com,Construction,51-200,Suisse,prospect,09/11/23,2025-02-16,m.delacroix,,,2023-09-11,mdy,2025-02-16,iso,,empty,CH,cortiservices.com,cortiservices,declared,1,cortiservices,,,ENT-03224,0,ACC-007949
ACC-009596,StellanexData Group,stellanexdata.fr,Construction,201-500,Allemagne,lead,2020-07-10,12/18/25,c.rinaldi,,,2020-07-10,iso,2025-12-18,mdy,,empty,DE,stellanexdata.fr,stellanexdata,declared,1,stellanexdata,,,ENT-16208,1,
ACC-011824,CortiSolutions SA,cortisolutions.fr,Education,51-200,France,lost,02/05/2023,10/05/2025,m.delacroix,,,2023-05-02,dmy,2025-05-10,dmy,,empty,FR,cortisolutions.fr,cortisolutions,declared,1,cortisolutions,,,ENT-03241,0,ACC-023340
ACC-019028,SolipraGroup,solipragroup.fr,Energy,501-1000,NL,customer,2024-11-02,,a.morel,8000,07/17/27,2024-11-02,iso,,empty,2027-07-17,mdy,NL,solipragroup.fr,solipragroup,declared,1,solipragroup,,,ENT-15823,1,
ACC-027577,Ovalivenfinance SAS,ovalivenfinance.fr,Software,51-200,FRANCE,lead,2019-10-01,2025-02-13,,,,2019-10-01,iso,2025-02-13,iso,,empty,FR,ovalivenfinance.fr,ovalivenfinance,declared,1,ovalivenfinance,,,ENT-13096,0,ACC-014033
ACC-029232,Juntodorindustries,juntodorindustries.fr,Real Estate,51-200,Spain,lead,2023-03-29,,,,,2023-03-29,iso,,empty,,empty,ES,juntodorindustries.fr,juntodorindustries,declared,1,juntodorindustries,,,ENT-08685,0,ACC-000067
ACC-005790,Taloimmo Group,taloimmo.fr,Agriculture,51-200,Fr,prospect,2021-08-30,06/02/2025,j.vandenberg,,,2021-08-30,iso,2025-02-06,dmy,,empty,FR,taloimmo.fr,taloimmo,declared,1,taloimmo,,,ENT-16946,1,
ACC-020343,JuntorinFood & Co,juntorinfood.eu,Software,11-50,FRANCE,lead,2025-05-27,09/24/25,p.lindqvist,,,2025-05-27,iso,2025-09-24,mdy,,empty,FR,juntorinfood.eu,juntorinfood,declared,1,juntorinfood,,,ENT-08919,0,ACC-016760
ACC-021121,CendrahalIndustries France,cendrahalindustries.com,Consulting,501-1000,Spain,prospect,08/02/2021,2024-12-20,,,,2021-02-08,dmy,2024-12-20,iso,,empty,ES,cendrahalindustries.com,cendrahalindustries,declared,1,cendrahalindustries,,,ENT-02637,1,
ACC-004940,Gallimarmedia France,gallimarmedia.fr,Real Estate,51-200,France,prospect,2019-09-21,25/07/2025,,,,2019-09-21,iso,2025-07-25,dmy,,empty,FR,gallimarmedia.fr,gallimarmedia,declared,1,gallimarmedia,,,ENT-06379,1,
ACC-010861,Perrimardigital,perrimardigital.fr,Financial Services,201-500,FRANCE,lead,01/09/2024,11/11/25,c.rinaldi,,,2024-09-01,dmy,2025-11-11,mdy,,empty,FR,perrimardigital.fr,perrimardigital,declared,1,perrimardigital,,,ENT-13327,1,
ACC-007206,Zephinextech France,zephinextech.fr,Energy,1-10,ES,lead,2021-02-13,2025-07-31,,,,2021-02-13,iso,2025-07-31,iso,,empty,ES,zephinextech.fr,zephinextech,declared,1,zephinextech,,,ENT-20351,0,ACC-015105
ACC-000981,Ulmicaldigital SAS,ulmicaldigital.io,Media,11-50,Germany,lead,2022-03-01,,a.morel,,,2022-03-01,iso,,empty,,empty,DE,ulmicaldigital.io,ulmicaldigital,declared,1,ulmicaldigital,,,ENT-17641,0,ACC-014707
ACC-015430,PrimoRetail SA,www.primoretail.com,,1-10,germany,prospect,09/07/21,13/06/2024,a.morel,,,2021-09-07,mdy,2024-06-13,dmy,,empty,DE,primoretail.com,primoretail,declared,1,primoretail,,,ENT-13827,0,ACC-001734
ACC-027503,Ederitasenergie,ederitasenergie.eu,Construction,,france,lead,2024-08-21,05/25/26,l.moreau,,,2024-08-21,iso,2026-05-25,mdy,,empty,FR,ederitasenergie.eu,ederitasenergie,declared,1,ederitasenergie,,,ENT-04498,0,ACC-000398
ACC-013281,SylvavenServices SARL,sylvavenservices.fr,Manufacturing,51-200,Fr,opportunity,06/06/21,03/26/25,l.moreau,,,2021-06-06,mdy,2025-03-26,mdy,,empty,FR,sylvavenservices.fr,sylvavenservices,declared,1,sylvavenservices,,,ENT-16770,1,
ACC-019490,Solisolconseil,solisolconseil.eu,Agriculture,51-200,FRANCE,lost,10/22/19,11/28/21,c.rinaldi,,,2019-10-22,mdy,2021-11-28,mdy,,empty,FR,solisolconseil.eu,solisolconseil,declared,1,solisolconseil,,,ENT-15881,1,
ACC-015437,Axiocalenergie,www.axiocalenergie.com,Retail,51-200,france,lost,03/09/2019,,p.lindqvist,,,2019-09-03,dmy,,empty,,empty,FR,axiocalenergie.com,axiocalenergie,declared,1,axiocalenergie,,,ENT-00871,0,ACC-006515
ACC-004892,GallibelFlow,gallibelflow.fr,Software,201-500,France,prospect,09/06/2026,2026-06-11,,,,2026-06-09,dmy,2026-06-11,iso,,empty,FR,gallibelflow.fr,gallibelflow,declared,1,gallibelflow,,,ENT-06178,0,ACC-002721
ACC-018974,UlmicalRetail SARL,ulmicalretail.com,Telecom,201-500,Netherlands,lost,06/03/20,20/10/2020,a.morel,,,2020-06-03,mdy,2020-10-20,dmy,,empty,NL,ulmicalretail.com,ulmicalretail,declared,1,ulmicalretail,,,ENT-17657,1,
ACC-009038,NordifinFlow,www.nordifinflow.com,Education,,Fr,lead,2025-09-26,01/02/2026,m.delacroix,,,2025-09-26,iso,2026-02-01,dmy,,empty,FR,nordifinflow.com,nordifinflow,declared,1,nordifinflow,,,ENT-11570,0,ACC-018896
ACC-029429,RAPIGORWORKS,www.rapigorworks.co,Media,11-50,FR,prospect,2024-10-30,,,,,2024-10-30,iso,,empty,,empty,FR,rapigorworks.co,rapigorworks,declared,1,rapigorworks,,,ENT-14471,0,ACC-027227
ACC-020122,Mavibellabs,mavibellabs.io,Energy,11-50,Switzerland,lead,2025-11-16,2025-12-15,m.delacroix,,,2025-11-16,iso,2025-12-15,iso,,empty,CH,mavibellabs.io,mavibellabs,declared,1,mavibellabs,,,ENT-10269,1,
ACC-009860,Talosolconsulting France,talosolconsulting.fr,Logistics,11-50,FRANCE,customer,01/03/2021,,c.rinaldi,25000,10/07/2026,2021-03-01,dmy,,empty,2026-07-10,dmy,FR,talosolconsulting.fr,talosolconsulting,declared,1,talosolconsulting,,,ENT-17116,1,
ACC-021214,Ederilummobility,ederilummobility.fr,Healthcare,11-50,FRANCE,churned,2026-06-09,2026-07-17,s.okafor,12000,,2026-06-09,iso,2026-07-17,iso,,empty,FR,ederilummobility.fr,ederilummobility,declared,1,ederilummobility,,,ENT-04342,1,
ACC-002254,NeohalLogistics,neohallogistics.fr,Consulting,11-50,belgium,lead,2021-08-21,2023-01-30,c.rinaldi,,,2021-08-21,iso,2023-01-30,iso,,empty,BE,neohallogistics.fr,neohallogistics,declared,1,neohallogistics,,,ENT-11212,1,
ACC-005477,EderiTech,ederitech.com,Media,1-10,Fr,prospect,04/01/18,20/12/2023,j.vandenberg,,,2018-04-01,mdy,2023-12-20,dmy,,empty,FR,ederitech.com,ederitech,declared,1,ederitech,,,ENT-04515,1,
ACC-005622,AxiolexLogic,axiolexlogic.fr,Automotive,51-200,Fr,lead,24/01/2026,03/04/26,j.vandenberg,,,2026-01-24,dmy,2026-03-04,mdy,,empty,FR,axiolexlogic.fr,axiolexlogic,declared,1,axiolexlogic,,,ENT-01004,0,ACC-016722
ACC-028419,Optiprafood SAS,optiprafood.fr,Hospitality,201-500,Fr,lost,18/09/2023,24/10/2024,m.delacroix,,,2023-09-18,dmy,2024-10-24,dmy,,empty,FR,optiprafood.fr,optiprafood,declared,1,optiprafood,,,ENT-12560,1,
