entity_id,name,name_norm,master_id,n_records,account_ids,domain,domain_root,country,industry,employee_range,lifecycle_consolidated,a_ete_client,deal_en_cours,arr_eur,arr_actif,arr_ex_client,renewal_date,arr_source_account,owner,owner_source_account,created_date_min,last_activity_max,country_conflict,arr_conflict,owner_conflict,lifecycle_conflict,review_churned_vs_opportunity,owner_a_router,segment,play_segment,segment_evidence
ENT-00020,AltabelRetail SAS,altabelretail,ACC-013632,2,ACC-013632|ACC-029342,altabelretail.io,altabelretail,FR,Real Estate,51-200,customer,1,0,18000,18000,,2027-01-01,ACC-013632,t.becker,ACC-013632,2022-11-01,2023-11-28,0,0,1,1,0,0,CLIENT_ACTIF,retention,events
ENT-00021,Altabelservices SARL,altabelservices,ACC-019438,2,ACC-019438|ACC-021764,altabelservices.eu,altabelservices,FR,Real Estate,51-200,churned,1,0,3000,,3000,,ACC-019438,m.delacroix,ACC-019438,2019-08-30,2026-03-25,0,0,1,1,0,0,EX_CLIENT,win_back_froid,events
ENT-00022,Altabelsoft,altabelsoft,ACC-010609,2,ACC-028694|ACC-010609,altabelsoft.eu,altabelsoft,CH,,51-200,lead,0,0,,,,,,l.moreau,ACC-010609,2020-07-02,2023-03-21,0,0,1,1,0,0,PROSPECT_TIEDE,new_business,events
ENT-00023,Altabelsolutions SARL,altabelsolutions,ACC-007094,2,ACC-023574|ACC-007094,altabelsolutions.co,altabelsolutions,BE,Software,11-50,customer,1,0,25000,25000,,2026-11-06,ACC-007094,c.rinaldi,ACC-023574,2018-12-29,2023-12-15,1,0,0,1,0,0,CLIENT_ACTIF,retention,events
ENT-00024,Altabeltech SA,altabeltech,ACC-017949,1,ACC-017949,altabeltech.com,altabeltech,NL,Energy,51-200,lead,0,0,,,,,,m.delacroix,ACC-017949,2021-02-07,,0,0,0,0,0,0,MORT,aucun,events
ENT-00025,AltabelWorks & Co,altabelworks,ACC-016520,1,ACC-016520,altabelworks.fr,altabelworks,IT,Healthcare,,lead,0,0,,,,,,a.morel,ACC-016520,2020-03-28,2020-12-05,0,0,0,0,0,0,MORT,aucun,events
ENT-00026,AltacalConseil SAS,altacalconseil,ACC-019074,2,ACC-012587|ACC-019074,altacalconseil.com,altacalconseil,FR,Retail,1-10,prospect,0,0,,,,,,l.moreau,ACC-019074,2019-01-12,2026-06-08,1,0,1,1,0,0,PROSPECT_TIEDE,new_business,events
ENT-00027,Altacalconsulting,altacalconsulting,ACC-014577,2,ACC-016453|ACC-014577,altacalconsulting.io,altacalconsulting,FR,Software,11-50,customer,1,0,25000,25000,,2026-08-25,ACC-014577,m.delacroix,ACC-014577,2018-04-26,2025-07-21,1,0,0,1,0,0,CLIENT_ACTIF,retention,events
ENT-00028,AltacalData,altacaldata,ACC-014590,1,ACC-014590,altacaldata.fr,altacaldata,FR,Construction,201-500,churned,1,0,12000,,12000,,ACC-014590,p.lindqvist,ACC-014590,2020-07-25,2025-09-13,0,0,0,0,0,0,EX_CLIENT,win_back_froid,events
ENT-00029,AltacalDigital,altacaldigital,ACC-003381,1,ACC-003381,,altacaldigital,NL,Automotive,201-500,lead,0,0,,,,,,j.vandenberg,ACC-003381,2023-08-28,2024-09-13,0,0,0,0,0,0,TOUCHE_EMAIL_SEULEMENT,nurture,events
ENT-00030,AltacalDynamics,altacaldynamics,ACC-012238,1,ACC-012238,,altacaldynamics,FR,Construction,51-200,prospect,0,0,,,,,,,,2020-06-11,2022-05-18,0,0,0,0,0,1,MORT,aucun,events
ENT-00031,AltacalFinance,altacalfinance,ACC-008758,2,ACC-017030|ACC-008758,altacalfinance.com,altacalfinance,FR,Construction,11-50,lead,0,0,,,,,,j.vandenberg,ACC-008758,2019-02-25,2022-10-02,1,0,1,0,0,0,PROSPECT_TIEDE,new_business,events
ENT-00032,Altacalflow & Co,altacalflow,ACC-028452,2,ACC-028913|ACC-028452,altacalflow.com,altacalflow,FR,Energy,201-500,prospect,0,0,,,,,,a.morel,ACC-028452,2019-06-03,2026-01-22,0,0,1,1,0,0,PROSPECT_TIEDE,new_business,events
ENT-00033,Altacalfood,altacalfood,ACC-025859,1,ACC-025859,,altacalfood,ES,Real Estate,201-500,lead,0,0,,,,,,t.becker,ACC-025859,2022-08-15,2025-06-12,0,0,0,0,0,0,PROSPECT_TIEDE,new_business,events
ENT-00034,AltacalForge & Co,altacalforge,ACC-019563,2,ACC-016667|ACC-019563,altacalforge.com,altacalforge,DE,Manufacturing,51-200,lost,0,0,,,,,,s.okafor,ACC-019563,2023-12-05,2025-06-13,1,0,1,0,0,0,TOUCHE_EMAIL_SEULEMENT,nurture,events
ENT-00035,Altacalgroup SAS,altacalgroup,ACC-021010,1,ACC-021010,altacalgroup.eu,altacalgroup,NL,Healthcare,1001-5000,opportunity,0,1,,,,,,,,2024-09-19,2025-07-02,0,0,0,0,0,1,PROSPECT_TIEDE,new_business,events
ENT-00036,AltacalHub,altacalhub,ACC-013853,2,ACC-023977|ACC-013853,altacalhub.eu,altacalhub,IT,Manufacturing,11-50,customer,1,0,8000,8000,,2027-05-27,ACC-013853,j.vandenberg,ACC-023977,2019-04-15,2023-11-18,1,0,0,1,0,0,CLIENT_ACTIF,retention,events
ENT-00037,Altacalindustries France,altacalindustries,ACC-016957,2,ACC-016957|ACC-016443,altacalindustries.fr,altacalindustries,IT,Real Estate,51-200,prospect,0,0,,,,,,c.rinaldi,ACC-016957,2024-04-03,2026-03-25,1,0,0,1,0,0,PROSPECT_TIEDE,new_business,events
ENT-00038,AltacalLab SARL,altacallab,ACC-022984,1,ACC-022984,altacallab.eu,altacallab,FR,Hospitality,51-200,customer,1,0,18000,18000,,2026-08-05,ACC-022984,p.lindqvist,ACC-022984,2025-09-23,2026-02-02,0,0,0,0,0,0,CLIENT_ACTIF,retention,events
ENT-00039,Altacallabs,altacallabs,ACC-025462,2,ACC-013321|ACC-025462,altacallabs.com,altacallabs,GB,Automotive,51-200,churned,1,0,5000,,5000,,ACC-025462,s.okafor,ACC-013321,2020-08-17,2023-04-22,1,0,0,1,0,0,EX_CLIENT_REACTIF,win_back,events
ENT-00040,Altacallogic SAS,altacallogic,ACC-004949,1,ACC-004949,altacallogic.eu,altacallogic,BE,Logistics,1-10,customer,1,0,5000,5000,,2027-03-25,ACC-004949,m.delacroix,ACC-004949,2020-01-29,2023-02-06,0,0,0,0,0,0,CLIENT_ACTIF,retention,events
ENT-00041,AltacalLogistics SA,altacallogistics,ACC-020111,1,ACC-020111,altacallogistics.io,altacallogistics,FR,Financial Services,51-200,customer,1,0,25000,25000,,2026-07-07,ACC-020111,a.morel,ACC-020111,2022-04-26,2025-07-26,0,0,0,0,0,0,CLIENT_RENEWAL_ECHUE,risque,events
ENT-00042,Altacalmedia France,altacalmedia,ACC-019394,2,ACC-002902|ACC-019394,altacalmedia.fr,altacalmedia,DE,Retail,201-500,prospect,0,0,,,,,,m.delacroix,ACC-019394,2019-03-25,2026-03-06,1,0,0,1,0,0,DORMANT,aucun,declared_field
ENT-00043,AltacalMobility SA,altacalmobility,ACC-002009,1,ACC-002009,altacalmobility.io,altacalmobility,FR,Financial Services,51-200,prospect,0,0,,,,,,a.morel,ACC-002009,2026-05-13,2026-05-15,0,0,0,0,0,0,TOUCHE_EMAIL_SEULEMENT,nurture,events
ENT-00044,Altacalpartners SA,altacalpartners,ACC-002147,2,ACC-002147|ACC-023591,altacalpartners.co,altacalpartners,NL,Retail,51-200,lead,0,0,,,,,,c.rinaldi,ACC-002147,2023-01-19,2025-03-22,1,0,1,1,0,0,PROSPECT_TIEDE,new_business,events
ENT-00045,AltacalPharma,altacalpharma,ACC-016131,2,ACC-024454|ACC-016131,altacalpharma.com,altacalpharma,FR,Manufacturing,1001-5000,lead,0,0,,,,,,j.vandenberg,ACC-016131,2024-09-22,2026-07-08,0,0,1,1,0,0,PROSPECT_TIEDE,new_business,events
ENT-00046,AltacalRetail,altacalretail,ACC-010438,1,ACC-010438,altacalretail.com,altacalretail,FR,Telecom,11-50,lead,0,0,,,,,,t.becker,ACC-010438,2021-10-04,2026-03-11,0,0,0,0,0,0,TOUCHE_EMAIL_SEULEMENT,nurture,events
ENT-00047,AltacalServices & Co,altacalservices,ACC-027689,2,ACC-005263|ACC-027689,altacalservices.co,altacalservices,IT,Manufacturing,51-200,churned,1,0,12000,,12000,,ACC-027689,t.becker,ACC-027689,2019-02-03,2025-01-30,1,1,0,0,0,0,EX_CLIENT_REACTIF,win_back,events
ENT-00048,Altacalsoft,altacalsoft,ACC-011497,3,ACC-011497|ACC-029367|ACC-026726,altacalsoft.com,altacalsoft,BE,Retail,51-200,churned,1,0,12000,,12000,,ACC-011497,m.delacroix,ACC-011497,2020-04-21,2026-06-29,1,0,1,1,0,0,EX_CLIENT_REACTIF,win_back,events
ENT-00049,Altacalsystems,altacalsystems,ACC-018684,1,ACC-018684,,altacalsystems,FR,Logistics,1-10,lead,0,0,,,,,,m.delacroix,ACC-018684,2026-06-10,2026-07-05,0,0,0,0,0,0,DORMANT,aucun,declared_field
ENT-00050,AltacalTech,altacaltech,ACC-016782,1,ACC-016782,altacaltech.eu,altacaltech,BE,Media,11-50,lead,0,0,,,,,,s.okafor,ACC-016782,2024-12-03,,0,0,0,0,0,0,PROSPECT_TIEDE,new_business,events
ENT-00051,AltaConseil,altaconseil,ACC-011924,1,ACC-011924,altaconseil.eu,altaconseil,IT,Hospitality,11-50,lead,0,0,,,,,,j.vandenberg,ACC-011924,2025-05-02,2025-12-11,0,0,0,0,0,0,DORMANT,aucun,declared_field
ENT-00052,AltaConsulting,altaconsulting,ACC-002991,2,ACC-003309|ACC-002991,altaconsulting.io,altaconsulting,FR,Software,51-200,churned,1,0,3000,,3000,,ACC-002991,l.moreau,ACC-003309,2022-06-24,2026-02-20,0,0,0,1,0,0,EX_CLIENT,win_back_froid,events
ENT-00053,AltaData,altadata,ACC-026781,3,ACC-029958|ACC-026781|ACC-000801,altadata.com,altadata,IT,Real Estate,201-500,churned,1,0,3000,,3000,,ACC-026781,a.morel,ACC-026781,2018-03-30,2025-11-27,1,0,1,1,0,0,EX_CLIENT_REACTIF,win_back,events
ENT-00054,Altadigital SA,altadigital,ACC-017099,2,ACC-017099|ACC-010153,altadigital.com,altadigital,FR,Hospitality,51-200,prospect,0,0,,,,,,l.moreau,ACC-017099,2021-10-01,2026-03-06,1,0,1,1,0,0,PROSPECT_TIEDE,new_business,events
ENT-00055,Altadorconseil France,altadorconseil,ACC-026429,1,ACC-026429,altadorconseil.fr,altadorconseil,FR,Hospitality,1-10,lead,0,0,,,,,,,,2025-09-24,2025-10-16,0,0,0,0,0,1,TOUCHE_EMAIL_SEULEMENT,nurture,events
ENT-00056,AltadorConsulting SA,altadorconsulting,ACC-014792,1,ACC-014792,altadorconsulting.com,altadorconsulting,FR,Healthcare,201-500,prospect,0,0,,,,,,,,2023-03-27,2024-11-23,0,0,0,0,0,1,TOUCHE_EMAIL_SEULEMENT,nurture,events
ENT-00057,AltadorData France,altadordata,ACC-015091,1,ACC-015091,altadordata.co,altadordata,CH,Consulting,5000+,lead,0,0,,,,,,j.vandenberg,ACC-015091,2021-08-19,2026-05-29,0,0,0,0,0,0,DORMANT,aucun,declared_field
ENT-00058,AltadorDigital,altadordigital,ACC-003270,2,ACC-003270|ACC-025546,altadordigital.com,altadordigital,NL,Telecom,201-500,lead,0,0,,,,,,p.lindqvist,ACC-003270,2019-03-24,2026-05-11,1,0,1,0,0,0,TOUCHE_EMAIL_SEULEMENT,nurture,events
ENT-00059,Altadordynamics & Co,altadordynamics,ACC-001375,1,ACC-001375,altadordynamics.eu,altadordynamics,DE,Financial Services,11-50,churned,1,0,5000,,5000,,ACC-001375,c.rinaldi,ACC-001375,2024-06-19,2024-12-21,0,0,0,0,0,0,EX_CLIENT_REACTIF,win_back,events
ENT-00060,AltadorFinance,altadorfinance,ACC-021057,1,ACC-021057,altadorfinance.com,altadorfinance,FR,Retail,11-50,churned,1,0,12000,,12000,,ACC-021057,p.lindqvist,ACC-021057,2019-05-31,2023-12-12,0,0,0,0,0,0,EX_CLIENT,win_back_froid,events
ENT-00061,Altadorflow,altadorflow,ACC-006636,1,ACC-006636,,altadorflow,DE,Logistics,5000+,customer,1,0,25000,25000,,2027-07-05,ACC-006636,t.becker,ACC-006636,2026-04-10,,0,0,0,0,0,0,CLIENT_ACTIF,retention,events
ENT-00062,Altadorfood SA,altadorfood,ACC-006731,1,ACC-006731,altadorfood.co,altadorfood,FR,Hospitality,11-50,lost,0,0,,,,,,j.vandenberg,ACC-006731,2022-04-12,2026-03-03,0,0,0,0,0,0,DORMANT,aucun,declared_field
ENT-00063,AltadorGroup & Co,altadorgroup,ACC-017624,2,ACC-005629|ACC-017624,altadorgroup.fr,altadorgroup,FR,Telecom,501-1000,customer,1,0,3000,3000,,2026-08-15,ACC-017624,j.vandenberg,ACC-005629,2018-10-23,2026-05-29,0,1,0,1,0,0,CLIENT_ACTIF,retention,events
ENT-00064,AltadorIndustries France,altadorindustries,ACC-015153,1,ACC-015153,altadorindustries.fr,altadorindustries,ES,Energy,11-50,lost,0,0,,,,,,t.becker,ACC-015153,2025-09-22,2026-03-01,0,0,0,0,0,0,LOST_REACTIF,reactivation,events
ENT-00065,Altadorlab France,altadorlab,ACC-011477,1,ACC-011477,altadorlab.eu,altadorlab,FR,Hospitality,11-50,customer,1,0,40000,40000,,2026-12-14,ACC-011477,c.rinaldi,ACC-011477,2025-02-26,2025-06-16,0,0,0,0,0,0,CLIENT_ACTIF,retention,events
ENT-00066,Altadorlabs SAS,altadorlabs,ACC-015695,2,ACC-023747|ACC-015695,altadorlabs.io,altadorlabs,BE,Telecom,1001-5000,churned,1,0,3000,,3000,,ACC-015695,p.lindqvist,ACC-015695,2021-04-24,2026-07-13,1,0,1,1,0,0,EX_CLIENT,win_back_froid,events
ENT-00067,AltadorLogic,altadorlogic,ACC-011535,1,ACC-011535,altadorlogic.com,altadorlogic,BE,Software,201-500,prospect,0,0,,,,,,l.moreau,ACC-011535,2021-07-24,2024-01-26,0,0,0,0,0,0,MORT,aucun,events
ENT-00068,Altadorlogistics,altadorlogistics,ACC-020298,1,ACC-020298,altadorlogistics.co,altadorlogistics,FR,Real Estate,11-50,lead,0,0,,,,,,c.rinaldi,ACC-020298,2022-12-04,2026-07-04,0,0,0,0,0,0,DORMANT,aucun,declared_field
ENT-00069,Altadormobility,altadormobility,ACC-000892,2,ACC-011198|ACC-000892,altadormobility.co,altadormobility,FR,Telecom,11-50,prospect,0,0,,,,,,s.okafor,ACC-000892,2019-10-26,2026-07-03,0,0,1,1,0,0,PROSPECT_TIEDE,new_business,events
ENT-00070,AltadorPartners SA,altadorpartners,ACC-007143,2,ACC-007143|ACC-013045,altadorpartners.com,altadorpartners,FR,Financial Services,11-50,prospect,0,0,,,,,,c.rinaldi,ACC-007143,2018-02-14,2022-01-31,1,0,1,0,0,0,PROSPECT_TIEDE,new_business,events
ENT-00071,Altadorpharma France,altadorpharma,ACC-023789,1,ACC-023789,altadorpharma.fr,altadorpharma,FR,Telecom,201-500,opportunity,0,1,,,,,,m.delacroix,ACC-023789,2020-08-29,2022-06-06,0,0,0,0,0,0,MORT,aucun,events
ENT-00072,AltadorRetail,altadorretail,ACC-007432,1,ACC-007432,altadorretail.com,altadorretail,BE,Real Estate,51-200,customer,1,0,25000,25000,,2026-10-16,ACC-007432,j.vandenberg,ACC-007432,2020-01-18,2024-06-28,0,0,0,0,0,0,CLIENT_ACTIF,retention,events
ENT-00073,AltadorServices SARL,altadorservices,ACC-016383,1,ACC-016383,,altadorservices,FR,Financial Services,11-50,lost,0,0,,,,,,p.lindqvist,ACC-016383,2025-11-14,2026-05-08,0,0,0,0,0,0,LOST_REACTIF,reactivation,events
ENT-00074,Altadorsoft,altadorsoft,ACC-004349,1,ACC-004349,altadorsoft.fr,altadorsoft,FR,Logistics,201-500,prospect,0,0,,,,,,j.vandenberg,ACC-004349,2023-08-04,2024-08-21,0,0,0,0,0,0,PROSPECT_TIEDE,new_business,events
ENT-00075,Altadorsolutions,altadorsolutions,ACC-003108,1,ACC-003108,altadorsolutions.com,altadorsolutions,DE,Healthcare,1-10,customer,1,0,40000,40000,,2026-11-04,ACC-003108,l.moreau,ACC-003108,2019-05-20,2019-06-21,0,0,0,0,0,0,CLIENT_ACTIF,retention,events
ENT-00076,AltadorSystems SA,altadorsystems,ACC-005430,2,ACC-014966|ACC-005430,altadorsystems.fr,altadorsystems,FR,Media,11-50,prospect,0,0,,,,,,a.morel,ACC-005430,2021-03-05,2026-05-07,1,0,0,1,0,0,PROSPECT_TIEDE,new_business,events
ENT-00077,AltadorTech,altadortech,ACC-021354,3,ACC-021354|ACC-011107|ACC-029539,altadortech.io,altadortech,NL,Retail,51-200,prospect,0,0,,,,,,l.moreau,ACC-011107,2021-08-22,2024-11-25,1,0,1,1,0,0,TOUCHE_EMAIL_SEULEMENT,nurture,events
ENT-00078,AltadorWorks,altadorworks,ACC-002436,1,ACC-002436,altadorworks.eu,altadorworks,FR,Software,51-200,customer,1,0,40000,40000,,2026-11-19,ACC-002436,a.morel,ACC-002436,2026-03-18,2026-07-03,0,0,0,0,0,0,CLIENT_ACTIF,retention,events
ENT-00079,AltaDynamics & Co,altadynamics,ACC-000025,2,ACC-000025|ACC-026950,altadynamics.co,altadynamics,IT,Hospitality,51-200,lead,0,0,,,,,,j.vandenberg,ACC-000025,2018-08-23,2026-05-07,1,0,1,1,0,0,PROSPECT_TIEDE,new_business,events
ENT-00080,Altaenergie SAS,altaenergie,ACC-005260,2,ACC-007715|ACC-005260,altaenergie.io,altaenergie,DE,Energy,201-500,lead,0,0,,,,,,c.rinaldi,ACC-005260,2020-01-10,2024-06-28,1,0,1,0,0,0,TOUCHE_EMAIL_SEULEMENT,nurture,events
ENT-00081,Altafinance SA,altafinance,ACC-005236,3,ACC-005236|ACC-029484|ACC-010519,altafinance.com,altafinance,FR,Financial Services,51-200,churned,1,0,12000,,12000,,ACC-005236,m.delacroix,ACC-010519,2018-05-18,2024-03-20,1,0,0,1,0,0,EX_CLIENT_REACTIF,win_back,events
ENT-00082,Altafinconseil SAS,altafinconseil,ACC-000382,1,ACC-000382,altafinconseil.io,altafinconseil,FR,Media,,customer,1,0,12000,12000,,2027-03-02,ACC-000382,,,2025-12-30,2026-04-19,0,0,0,0,0,1,CLIENT_ACTIF,retention,events
ENT-00083,AltafinConsulting,altafinconsulting,ACC-003145,1,ACC-003145,altafinconsulting.com,altafinconsulting,DE,,501-1000,lost,0,0,,,,,,a.morel,ACC-003145,2023-07-26,2024-09-12,0,0,0,0,0,0,MORT,aucun,events
ENT-00084,AltafinData,altafindata,ACC-028072,1,ACC-028072,altafindata.com,altafindata,FR,Telecom,51-200,prospect,0,0,,,,,,p.lindqvist,ACC-028072,2022-11-17,,0,0,0,0,0,0,TOUCHE_EMAIL_SEULEMENT,nurture,events
ENT-00085,Altafindynamics SAS,altafindynamics,ACC-002933,1,ACC-002933,altafindynamics.eu,altafindynamics,IT,,11-50,lost,0,0,,,,,,,,2025-02-23,2026-02-15,0,0,0,0,0,1,DORMANT,aucun,declared_field
ENT-00086,Altafinfinance SARL,altafinfinance,ACC-011517,2,ACC-011517|ACC-006031,altafinfinance.com,altafinfinance,DE,Manufacturing,501-1000,opportunity,0,1,,,,,,l.moreau,ACC-011517,2021-07-27,2026-06-02,1,0,1,1,0,0,PROSPECT_TIEDE,new_business,events
ENT-00087,Altafinflow SA,altafinflow,ACC-016219,1,ACC-016219,,altafinflow,GB,Education,11-50,lost,0,0,,,,,,t.becker,ACC-016219,2024-02-09,2025-05-08,0,0,0,0,0,0,MORT,aucun,events
ENT-00088,AltafinFood Group,altafinfood,ACC-017809,2,ACC-017809|ACC-010759,altafinfood.com,altafinfood,FR,Construction,51-200,opportunity,0,1,,,,,,c.rinaldi,ACC-017809,2019-11-07,2022-09-10,0,0,1,1,0,0,MORT,aucun,events
ENT-00089,Altafinforge,altafinforge,ACC-024243,3,ACC-021902|ACC-024243|ACC-029198,altafinforge.com,altafinforge,BE,Healthcare,11-50,prospect,0,0,,,,,,s.okafor,ACC-024243,2018-01-17,2024-07-30,1,0,1,1,0,0,PROSPECT_TIEDE,new_business,events
ENT-00090,Altafingroup Group,altafingroup,ACC-020961,1,ACC-020961,altafingroup.io,altafingroup,BE,Software,,lost,0,0,,,,,,t.becker,ACC-020961,2022-04-15,2026-01-27,0,0,0,0,0,0,TOUCHE_EMAIL_SEULEMENT,nurture,events
ENT-00091,ALTAFINIMMO,altafinimmo,ACC-028745,2,ACC-026622|ACC-028745,altafinimmo.eu,altafinimmo,DE,Agriculture,201-500,prospect,0,0,,,,,,m.delacroix,ACC-028745,2018-05-10,,0,0,0,1,0,0,PROSPECT_TIEDE,new_business,events
ENT-00092,AltafinIndustries & Co,altafinindustries,ACC-008747,1,ACC-008747,altafinindustries.co,altafinindustries,FR,Construction,11-50,customer,1,0,5000,5000,,2027-04-12,ACC-008747,t.becker,ACC-008747,2024-08-04,2024-10-18,0,0,0,0,0,0,CLIENT_ACTIF,retention,events
ENT-00093,Altafinlab,altafinlab,ACC-003771,1,ACC-003771,altafinlab.com,altafinlab,IT,Software,51-200,churned,1,0,12000,,12000,,ACC-003771,,,2019-08-17,2023-08-17,0,0,0,0,0,1,EX_CLIENT,win_back_froid,events
ENT-00094,AltafinLogic,altafinlogic,ACC-003696,2,ACC-003696|ACC-005389,altafinlogic.com,altafinlogic,FR,Retail,11-50,customer,1,0,25000,25000,,2027-03-25,ACC-003696,l.moreau,ACC-003696,2022-01-07,2026-07-19,1,0,1,1,0,0,CLIENT_ACTIF,retention,events
ENT-00095,Altafinlogistics,altafinlogistics,ACC-013929,2,ACC-005407|ACC-013929,altafinlogistics.io,altafinlogistics,FR,Real Estate,51-200,prospect,0,0,,,,,,l.moreau,ACC-013929,2023-02-13,2026-03-18,0,0,1,1,0,0,PROSPECT_TIEDE,new_business,events
