contact_id,entity_id,entreprise,job_title,persona_tier,raison,adresse_a_existe,linkedin_vu,nb_events_net
CON-014931,ENT-10843,Merilogistics,HR Manager,champion,adresse_perso,1,0,6
CON-066066,ENT-19592,WallisolGroup,Charge de recrutement,utilisateur,sans_adresse,1,0,2
CON-055591,ENT-10119,LumiquiDigital,HR Business Partner,champion,adresse_perso,0,0,0
CON-054459,ENT-16857,TalodorLabs SARL,,sans_titre,adresse_perso,0,0,0
CON-020916,ENT-14498,Rapilexdata & Co,HR Assistant,utilisateur,sans_adresse,1,0,2
CON-013943,ENT-09793,LorritasLabs Group,Office Manager,bruit,adresse_perso,0,0,0
CON-040419,ENT-04758,Estevamarmedia & Co,Recruiter,utilisateur,adresse_perso,0,0,0
CON-040908,ENT-17257,TerradorConseil SA,Executive Assistant,bruit,sans_adresse,0,0,0
CON-021707,ENT-18159,Vectogormedia SARL,HR Officer,utilisateur,adresse_perso,0,0,0
CON-001355,ENT-04026,DorioquiMobility SA,People Ops Manager,champion,sans_adresse,0,0,0
CON-022144,ENT-06482,GallirinMobility,Executive Assistant,bruit,sans_adresse,0,0,0
CON-026526,ENT-13156,Perribelsolutions Group,CEO,buyer,sans_adresse,0,0,0
CON-002975,ENT-10810,Merihalservices SAS,Responsable Recrutement,champion,adresse_perso,1,0,6
CON-003280,ENT-17359,Terralab,Office Manager,bruit,sans_adresse,1,0,5
CON-057326,ENT-03579,Delfiquiconsulting France,Head of Talent Acquisition,buyer,adresse_perso,1,0,5
CON-061595,ENT-01707,BriocalMobility Group,Chargee de recrutement,utilisateur,sans_adresse,1,0,2
CON-033657,ENT-11438,Neotaslogistics SARL,Compensation & Benefits Manager,champion,sans_adresse,1,0,5
CON-050845,ENT-10485,Mavinexforge,Charge de recrutement,utilisateur,adresse_perso,1,0,5
CON-051747,ENT-06712,GrimohalConsulting,,sans_titre,adresse_perso,1,1,3
CON-041899,ENT-03562,Delfipraenergie,HRBP,champion,sans_adresse,1,0,8
CON-033654,ENT-15141,Roccavenfood,HRBP,champion,sans_adresse,1,0,2
CON-020440,ENT-16738,Sylvatasgroup SA,Office Manager,bruit,adresse_perso,0,0,0
CON-023423,ENT-05169,Fabrimarindustries,People Ops Manager,champion,sans_adresse,1,0,2
CON-054350,ENT-01677,BriobelLab,,sans_titre,sans_adresse,0,0,0
CON-076466,ENT-14368,RapibelLogistics France,Executive Assistant,bruit,sans_adresse,0,0,0
CON-072011,ENT-16016,StellacalMobility SAS,HRBP,champion,adresse_perso,0,0,0
CON-057203,ENT-18289,Vectonexretail,HR Business Partner,champion,sans_adresse,0,0,0
CON-023389,ENT-12509,OptimarFood,,sans_titre,adresse_perso,1,0,4
CON-063547,ENT-10317,MavidorHub,People Ops Coordinator,utilisateur,sans_adresse,0,0,0
CON-017842,ENT-14594,Rapipraconseil,Executive Assistant,bruit,sans_adresse,0,0,0
CON-058775,ENT-07403,HeliobelDynamics France,Office Manager,bruit,sans_adresse,0,0,0
CON-073929,ENT-18674,VERTIMARMEDIA,HR Business Partner,champion,sans_adresse,0,0,0
CON-016559,ENT-05767,Fernoviaforge & Co,HR Business Partner,champion,sans_adresse,0,0,0
CON-005694,ENT-10238,Lumiviadigital France,VP Human Resources,buyer,adresse_perso,0,0,0
CON-038521,ENT-06340,Gallilexsoft France,People Ops Coordinator,utilisateur,adresse_perso,1,0,2
CON-039957,ENT-06870,Grimoquimobility Group,HR Director,buyer,adresse_perso,1,0,6
CON-004547,ENT-15791,SoliMobility Group,Head of HR Operations,buyer,adresse_perso,1,1,3
CON-017924,ENT-04280,EderihalConsulting SA,HRBP,champion,adresse_perso,1,0,3
CON-013920,ENT-06118,Flexitaslab France,Responsable Recrutement,champion,sans_adresse,0,0,0
CON-041654,ENT-12722,OvalibelFood SARL,Chief People Officer,buyer,adresse_perso,1,0,5
CON-009671,ENT-08105,Iberiquimobility Group,,sans_titre,adresse_perso,1,0,6
CON-018567,ENT-00779,ArdentasEnergie SARL,HR Manager,champion,adresse_perso,0,0,0
CON-048308,ENT-06431,GallipraMobility,Compensation & Benefits Manager,champion,adresse_perso,0,0,0
CON-037188,ENT-14676,Rapisolmobility & Co,CEO,buyer,adresse_perso,1,0,7
CON-062923,ENT-11869,NordivenWorks & Co,HR Manager,champion,sans_adresse,0,0,0
CON-058870,ENT-03382,DelfiEnergie France,Head of Talent Acquisition,buyer,adresse_perso,0,0,0
CON-004315,ENT-04476,Ederisolfood SARL,,sans_titre,sans_adresse,0,0,0
CON-055081,ENT-05747,FernovenForge,VP Human Resources,buyer,adresse_perso,0,0,0
CON-009252,ENT-18568,VertigorLabs,VP Human Resources,buyer,adresse_perso,0,0,0
CON-072757,ENT-06668,Grimofingroup,HR Intern,bruit,adresse_perso,0,0,0
CON-030902,ENT-06017,Flexipradigital SA,CHRO,buyer,sans_adresse,0,0,0
CON-043909,ENT-04170,EderibelLabs,People Ops Manager,champion,sans_adresse,0,0,0
CON-042876,ENT-06830,Grimopartners,COO,buyer,sans_adresse,1,0,3
CON-013119,ENT-10642,MavivenRetail & Co,Responsable Recrutement,champion,sans_adresse,0,0,0
CON-040592,ENT-05902,FlexihalConsulting,Recruiter,utilisateur,sans_adresse,0,0,0
CON-022953,ENT-19392,Walligorsolutions Group,People Ops Manager,champion,sans_adresse,0,0,0
CON-021672,ENT-10948,Meriquiflow,Chargee de recrutement,utilisateur,sans_adresse,1,0,2
CON-042776,ENT-12008,NovagorHub,People Ops Manager,champion,adresse_perso,1,0,2
CON-007617,ENT-11439,NeotasPartners,HR Manager,champion,adresse_perso,0,0,0
CON-045833,ENT-20008,YellosolHub,HRBP,champion,adresse_perso,0,0,0
CON-060731,ENT-19259,Vespiviaflow SA,Office Manager,bruit,adresse_perso,0,0,0
CON-047774,ENT-16550,Sylvalabs SA,HR Assistant,utilisateur,sans_adresse,1,0,5
CON-054786,ENT-01210,Axiovenindustries,Compensation & Benefits Manager,champion,adresse_perso,0,0,0
CON-010890,ENT-13530,PerriviaPartners,,sans_titre,adresse_perso,0,0,0
CON-063418,ENT-11452,NeovenEnergie,HR Business Partner,champion,sans_adresse,0,0,0
CON-008899,ENT-15204,SerenicalLogistics,Charge de recrutement,utilisateur,adresse_perso,1,0,6
CON-041469,ENT-06641,GrimodorDigital France,People Ops Coordinator,utilisateur,sans_adresse,0,0,0
CON-064025,ENT-15896,Solisolretail SARL,Talent Acquisition Manager,champion,sans_adresse,0,0,0
CON-018893,ENT-16847,TalodorConsulting SAS,Head of Talent Acquisition,buyer,sans_adresse,0,0,0
CON-049509,ENT-14359,Rapibelflow,HR Business Partner,champion,sans_adresse,0,0,0
CON-012865,ENT-05560,FernolumHub Group,People Ops Coordinator,utilisateur,sans_adresse,0,0,0
CON-012994,ENT-09881,Lumicalhub France,HR Business Partner,champion,sans_adresse,0,0,0
CON-043046,ENT-12199,NovarinImmo,People Ops Manager,champion,sans_adresse,0,0,0
CON-008264,ENT-14278,Quantisolmobility SAS,HR Intern,bruit,adresse_perso,1,0,6
CON-038903,ENT-18007,UlmivenRetail SAS,CHRO,buyer,adresse_perso,0,0,0
CON-049260,ENT-07726,Heliosollogistics & Co,HR Officer,utilisateur,sans_adresse,1,0,5
CON-025607,ENT-08020,IberimarEnergie Group,,sans_titre,adresse_perso,0,0,0
CON-075900,ENT-12523,OptimarSystems SAS,Head of People,buyer,sans_adresse,0,0,0
CON-019519,ENT-09302,Kelviquilogistics & Co,HR Manager,champion,sans_adresse,1,0,6
CON-068436,ENT-17561,Terrataslab,Recruiter,utilisateur,adresse_perso,1,0,4
CON-058499,ENT-17114,TaloSoft,Head of HR Operations,buyer,sans_adresse,0,0,0
CON-057570,ENT-07972,Iberilexenergie & Co,HR Business Partner,champion,adresse_perso,1,0,4
CON-014377,ENT-05183,FabrimarWorks,Talent Acquisition Manager,champion,adresse_perso,0,0,0
CON-064645,ENT-13599,PrimodorGroup,HR Officer,utilisateur,sans_adresse,0,0,0
CON-017351,ENT-07098,Haldegorfood,HR Officer,utilisateur,adresse_perso,0,0,0
CON-067475,ENT-12357,OptidorFinance,HR Manager,champion,adresse_perso,0,0,0
CON-023333,ENT-14104,Quantilexconsulting France,Talent Acquisition Manager,champion,sans_adresse,0,0,0
CON-011247,ENT-00989,Axiolab Group,Head of People,buyer,sans_adresse,1,0,1
CON-051673,ENT-11263,Neolumlogic SAS,,sans_titre,sans_adresse,0,0,0
CON-030834,ENT-15480,SerenirinLogistics France,Chief People Officer,buyer,sans_adresse,0,0,0
CON-011103,ENT-14780,Roccacalconsulting SA,HR Business Partner,champion,adresse_perso,0,0,0
CON-034960,ENT-11675,NordilumRetail,HR Officer,utilisateur,sans_adresse,0,0,0
CON-015206,ENT-14911,Roccalab Group,CHRO,buyer,sans_adresse,0,0,0
CON-061898,ENT-04470,EderisolConseil SAS,Recruiter,utilisateur,sans_adresse,0,0,0
CON-036582,ENT-01896,Briomarsystems France,Head of Talent Acquisition,buyer,adresse_perso,0,0,0
CON-023488,ENT-17205,Taloviamobility & Co,People Ops Coordinator,utilisateur,adresse_perso,1,0,4
CON-035428,ENT-05153,Fabrilumpartners & Co,Directrice RH,buyer,sans_adresse,0,0,0
CON-052972,ENT-13171,PerricalMedia France,Talent Acquisition Specialist,utilisateur,sans_adresse,0,0,0
CON-065482,ENT-08047,Iberinexenergie,Responsable Recrutement,champion,sans_adresse,1,0,4
CON-010988,ENT-10302,MavicalSystems,HRBP,champion,adresse_perso,0,0,0
CON-047994,ENT-15542,SerenivenDynamics,Talent Acquisition Manager,champion,adresse_perso,0,0,0
CON-051489,ENT-16238,StellapraEnergie,Chief People Officer,buyer,adresse_perso,0,0,0
CON-061239,ENT-04458,Ederirinlab SA,HR Director,buyer,adresse_perso,1,1,2
CON-016499,ENT-14656,Rapirinmobility SARL,Office Manager,bruit,sans_adresse,0,0,0
CON-066272,ENT-01157,AxiosolFlow SAS,People Ops Coordinator,utilisateur,sans_adresse,0,0,0
CON-069052,ENT-20042,Yellotaspartners,Talent Acquisition Manager,champion,adresse_perso,0,0,0
CON-055899,ENT-12770,OvaliDigital SA,Charge de recrutement,utilisateur,adresse_perso,0,0,0
CON-059331,ENT-02821,Cendrasolconsulting,Recruiter,utilisateur,adresse_perso,1,0,1
CON-055020,ENT-10321,MavidorLabs,Directeur RH,buyer,sans_adresse,1,0,2
CON-003903,ENT-06471,Gallirinfood,People Ops Coordinator,utilisateur,sans_adresse,0,0,0
CON-063504,ENT-04742,Estevalumsoft SARL,Recruiter,utilisateur,sans_adresse,0,0,0
CON-011698,ENT-09903,LumidorDynamics & Co,COO,buyer,adresse_perso,1,0,2
CON-030816,ENT-12782,OvalidorLabs,HR Intern,bruit,sans_adresse,0,0,0
CON-058434,ENT-17668,UlmidorConseil SAS,Chargee de recrutement,utilisateur,sans_adresse,0,0,0
CON-076383,ENT-11153,NEODYNAMICS,HR Manager,champion,sans_adresse,1,0,3
CON-027380,ENT-00159,AltaIndustries,HR Intern,bruit,sans_adresse,0,0,0
CON-072463,ENT-20148,ZephidorData SARL,HR Director,buyer,adresse_perso,0,0,0
CON-071866,ENT-16837,Talocalsoft,Compensation & Benefits Manager,champion,sans_adresse,1,0,1
CON-027530,ENT-06491,GallisolConseil SA,Head of HR Operations,buyer,sans_adresse,1,0,3
CON-036156,ENT-02260,CaurilumConsulting Group,Talent Acquisition Manager,champion,sans_adresse,1,0,5
CON-001523,ENT-20181,ZephifinHub Group,HR Director,buyer,sans_adresse,1,0,2
CON-055097,ENT-19136,VespipraWorks & Co,Office Manager,bruit,adresse_perso,0,0,0
CON-011520,ENT-00533,ArdenfinWorks,Office Manager,bruit,adresse_perso,0,0,0
CON-013777,ENT-12254,NovatasSystems SA,HR Intern,bruit,sans_adresse,1,0,5
CON-023233,ENT-06449,GalliquiForge SA,Responsable Recrutement,champion,sans_adresse,0,0,0
CON-012208,ENT-09503,Lorridorsystems SARL,Office Manager,bruit,sans_adresse,0,0,0
CON-004932,ENT-11225,Neolabs,Talent Acquisition Specialist,utilisateur,adresse_perso,0,0,0
CON-049085,ENT-15333,SerenilexImmo SAS,HR Officer,utilisateur,sans_adresse,0,0,0
CON-035497,ENT-07026,Haldecalforge,HR Assistant,utilisateur,sans_adresse,0,0,0
CON-049485,ENT-03411,Delfigordata SARL,Directeur RH,buyer,sans_adresse,0,0,0
CON-070299,ENT-10460,Mavimarfood SAS,HR Officer,utilisateur,adresse_perso,0,0,0
CON-041305,ENT-04228,Ederidynamics SA,Chief People Officer,buyer,sans_adresse,0,0,0
CON-064081,ENT-06990,GrimoviaPharma Group,HR Business Partner,champion,sans_adresse,1,0,2
CON-043838,ENT-13241,Perrigorimmo France,Head of People,buyer,adresse_perso,1,0,2
CON-072150,ENT-04021,DorioquiLab & Co,Charge de recrutement,utilisateur,adresse_perso,0,0,0
CON-062994,ENT-16512,SylvagorIndustries,VP People,buyer,sans_adresse,0,0,0
CON-011872,ENT-16734,Sylvatasdynamics,Head of HR Operations,buyer,sans_adresse,1,0,5
CON-032132,ENT-08497,Ivoroquifood,Directrice RH,buyer,sans_adresse,0,0,0
CON-031364,ENT-19490,Wallinexconsulting SA,Head of Talent Acquisition,buyer,adresse_perso,0,0,0
CON-003439,ENT-02544,CendracalSolutions SAS,Talent Acquisition Manager,champion,sans_adresse,1,0,3
CON-032347,ENT-14135,QuantilumImmo & Co,HR Officer,utilisateur,sans_adresse,0,0,0
CON-027553,ENT-15576,Sereniviapartners,Chief People Officer,buyer,adresse_perso,0,0,0
CON-012493,ENT-05627,FernopraFlow SA,HR Officer,utilisateur,adresse_perso,1,0,6
CON-000116,ENT-09549,LorrigorMedia & Co,Compensation & Benefits Manager,champion,sans_adresse,0,0,0
CON-075584,ENT-06324,Gallilexconseil Group,HR Officer,utilisateur,sans_adresse,1,0,3
CON-071999,ENT-20385,Zephiquidynamics,Talent Acquisition Specialist,utilisateur,sans_adresse,0,0,0
CON-054669,ENT-08291,Ivorodorpartners Group,Head of HR Operations,buyer,sans_adresse,1,0,5
CON-051853,ENT-08919,Juntorinfood,HR Assistant,utilisateur,sans_adresse,0,0,0
CON-004975,ENT-15649,Solidorsystems,Office Manager,bruit,sans_adresse,0,0,0
CON-005400,ENT-11533,NordicalServices France,HRBP,champion,adresse_perso,0,0,0
CON-032950,ENT-07100,Haldegorimmo Group,HR Officer,utilisateur,sans_adresse,0,0,0
CON-015213,ENT-08881,JuntopraIndustries SA,Executive Assistant,bruit,sans_adresse,0,0,0
CON-029236,ENT-06561,GallivenSolutions Group,Chargee de recrutement,utilisateur,sans_adresse,1,0,8
CON-007510,ENT-18345,VectorinFlow,Chief People Officer,buyer,sans_adresse,0,0,0
CON-060565,ENT-16606,SylvamarPartners & Co,Office Manager,bruit,adresse_perso,1,0,3
CON-042287,ENT-10031,LumilumData SA,HRBP,champion,sans_adresse,0,0,0
CON-012089,ENT-10049,LumimarConsulting,CEO,buyer,sans_adresse,0,0,0
CON-061735,ENT-02716,Cendramarlab France,HR Director,buyer,adresse_perso,1,0,2
CON-008185,ENT-18508,VertidorData France,Talent Acquisition Specialist,utilisateur,sans_adresse,0,0,0
CON-043554,ENT-16382,Stellavensolutions SARL,People Ops Manager,champion,adresse_perso,0,0,0
CON-058196,ENT-01653,BelfoviaLogic,HR Officer,utilisateur,sans_adresse,1,0,4
CON-005514,ENT-04698,EstevaImmo SARL,HR Business Partner,champion,sans_adresse,1,0,11
CON-072652,ENT-01219,AxiovenSolutions,Talent Acquisition Specialist,utilisateur,adresse_perso,0,0,0
CON-037969,ENT-11131,NeodorConseil,HR Intern,bruit,sans_adresse,1,0,5
CON-060366,ENT-06661,Grimofinance France,HR Director,buyer,adresse_perso,0,0,0
CON-064315,ENT-05167,Fabrimargroup,Chargee de recrutement,utilisateur,adresse_perso,0,0,0
CON-056142,ENT-16190,Stellamarhub SAS,VP People,buyer,sans_adresse,0,0,0
CON-045440,ENT-09887,LumicalPartners SAS,Head of People,buyer,adresse_perso,1,0,2
CON-053303,ENT-07229,HaldenexSoft SAS,CEO,buyer,sans_adresse,0,0,0
CON-064869,ENT-01341,BelfofinServices,HR Intern,bruit,sans_adresse,0,0,0
CON-062663,ENT-10589,MavisolMobility,,sans_titre,sans_adresse,0,0,0
CON-060163,ENT-01254,Belfobelfood,Head of HR Operations,buyer,sans_adresse,0,0,0
CON-004759,ENT-07471,Heliodorpartners,Chargee de recrutement,utilisateur,adresse_perso,1,0,2
CON-033314,ENT-10130,Lumiquimedia SA,HR Officer,utilisateur,adresse_perso,0,0,0
CON-056828,ENT-12993,OvalipraSystems,HR Officer,utilisateur,sans_adresse,1,0,4
CON-028167,ENT-02988,Cortienergie Group,Compensation & Benefits Manager,champion,sans_adresse,0,0,0
CON-040176,ENT-02404,Caurisoldigital,People Ops Manager,champion,sans_adresse,1,0,6
CON-071945,ENT-10178,Lumisolsoft,,sans_titre,adresse_perso,0,0,0
CON-007560,ENT-15375,SerenimarFinance SAS,HR Business Partner,champion,sans_adresse,1,0,4
CON-052264,ENT-00490,Ardendorfinance,HR Business Partner,champion,adresse_perso,0,0,0
CON-035438,ENT-06479,Gallirinlogic France,CEO,buyer,sans_adresse,1,0,2
CON-069499,ENT-01192,Axiotaspharma,HR Manager,champion,sans_adresse,0,0,0
CON-052699,ENT-19241,Vespivenlab & Co,Recruiter,utilisateur,sans_adresse,0,0,0
CON-001586,ENT-14412,Rapidorimmo SA,HR Manager,champion,adresse_perso,0,0,0
CON-031889,ENT-08501,IvoroquiImmo,Charge de recrutement,utilisateur,adresse_perso,1,0,3
CON-039585,ENT-14705,Rapitassystems & Co,Compensation & Benefits Manager,champion,sans_adresse,0,0,0
CON-029295,ENT-02710,CendramarFood,Chief People Officer,buyer,adresse_perso,0,0,0
CON-057525,ENT-18668,VertimarImmo,Talent Acquisition Specialist,utilisateur,sans_adresse,1,1,2
CON-025877,ENT-10980,MeririnLab,HR Manager,champion,sans_adresse,0,0,0
CON-031855,ENT-12994,OvalipraTech,Recruiter,utilisateur,sans_adresse,0,0,0
CON-052250,ENT-13675,PrimohalLogic,Talent Acquisition Specialist,utilisateur,adresse_perso,0,0,0
CON-066711,ENT-18319,VectoquiDigital,HR Director,buyer,sans_adresse,0,0,0
CON-037880,ENT-06070,Flexirinimmo,,sans_titre,sans_adresse,0,0,0
CON-072439,ENT-04428,EderiquiHub France,Head of HR Operations,buyer,adresse_perso,1,0,2
CON-012024,ENT-00291,AltaquiGroup SA,Talent Acquisition Specialist,utilisateur,sans_adresse,1,0,6
CON-066916,ENT-04505,Ederitaslabs,VP Human Resources,buyer,sans_adresse,1,0,3
CON-071857,ENT-04559,EderiWorks SARL,Head of People,buyer,sans_adresse,0,0,0
CON-049653,ENT-03470,Delfileximmo & Co,People Ops Coordinator,utilisateur,adresse_perso,1,0,4
CON-049700,ENT-07206,HaldeMedia France,Head of Talent Acquisition,buyer,sans_adresse,1,0,3
CON-064524,ENT-15598,SolibelSolutions,Charge de recrutement,utilisateur,sans_adresse,1,0,4
CON-032793,ENT-20216,Zephigorlogistics,Recruiter,utilisateur,sans_adresse,0,0,0
CON-055830,ENT-19572,Wallirinlogistics,Executive Assistant,bruit,sans_adresse,0,0,0
CON-024877,ENT-11360,Neoquiimmo Group,HR Manager,champion,sans_adresse,0,0,0
CON-009750,ENT-14544,RapilumWorks France,HR Assistant,utilisateur,adresse_perso,0,0,0
CON-016418,ENT-08295,Ivorodorsolutions & Co,HR Intern,bruit,adresse_perso,0,0,0
CON-047073,ENT-20065,YellovenMedia,CEO,buyer,sans_adresse,1,1,4
CON-029239,ENT-10561,MavirinLabs France,Executive Assistant,bruit,adresse_perso,0,0,0
CON-002910,ENT-15443,SereniquiDigital,Charge de recrutement,utilisateur,adresse_perso,0,0,0
CON-031330,ENT-16178,Stellalumtech SARL,HR Business Partner,champion,adresse_perso,0,0,0
CON-070918,ENT-14335,Quantiviadynamics,People Ops Manager,champion,adresse_perso,0,0,0
CON-027114,ENT-12912,OvalilumLab SAS,CHRO,buyer,adresse_perso,0,0,0
CON-055907,ENT-00929,Axiofinforge SARL,HR Assistant,utilisateur,sans_adresse,0,0,0
CON-048406,ENT-03381,Delfidynamics & Co,HR Officer,utilisateur,adresse_perso,0,0,0
CON-013971,ENT-01503,BelfopraFinance SAS,People Ops Manager,champion,sans_adresse,0,0,0
CON-035224,ENT-08088,IberipraSystems & Co,Charge de recrutement,utilisateur,adresse_perso,0,0,0
CON-000637,ENT-06450,Galliquigroup France,,sans_titre,adresse_perso,1,0,4
CON-064257,ENT-12262,Novavenflow SARL,Responsable Recrutement,champion,sans_adresse,1,0,1
CON-044659,ENT-17636,UlmibelSoft,HR Assistant,utilisateur,adresse_perso,0,0,0
CON-017484,ENT-07274,Haldequiretail SARL,Head of People,buyer,sans_adresse,1,0,3
CON-048377,ENT-16554,SylvalexDynamics France,Directeur RH,buyer,sans_adresse,0,0,0
CON-017268,ENT-10784,Merigormedia,Talent Acquisition Specialist,utilisateur,sans_adresse,0,0,0
CON-026500,ENT-00842,AxiobelConsulting,Head of HR Operations,buyer,adresse_perso,1,1,5
CON-044907,ENT-02570,CendradorWorks & Co,,sans_titre,sans_adresse,0,0,0
CON-025480,ENT-06972,Grimovensoft Group,Head of HR Operations,buyer,adresse_perso,0,0,0
CON-018060,ENT-16311,Stellaservices,Compensation & Benefits Manager,champion,sans_adresse,0,0,0
CON-034875,ENT-08835,JuntomarMedia Group,People Ops Coordinator,utilisateur,adresse_perso,0,0,0
CON-072108,ENT-07174,HaldelumLabs,HRBP,champion,adresse_perso,0,0,0
CON-033083,ENT-08448,IvoronexForge SAS,VP Human Resources,buyer,adresse_perso,0,0,0
CON-001175,ENT-19507,Wallinexsolutions,VP Human Resources,buyer,sans_adresse,0,0,0
CON-063151,ENT-19907,YellonexFinance Group,Compensation & Benefits Manager,champion,sans_adresse,0,0,0
CON-046483,ENT-02049,Briovenfinance,Recruiter,utilisateur,sans_adresse,0,0,0
CON-008879,ENT-16563,Sylvalexlogistics,HR Director,buyer,adresse_perso,0,0,0
CON-062456,ENT-18765,VertirinLogistics SA,Office Manager,bruit,sans_adresse,0,0,0
CON-065090,ENT-12301,NovaviaWorks SA,HR Manager,champion,sans_adresse,0,0,0
CON-034820,ENT-09578,Lorrihub SAS,Executive Assistant,bruit,adresse_perso,0,0,0
CON-074175,ENT-09399,KELVIVENSYSTEMS,VP People,buyer,adresse_perso,1,0,6
CON-054740,ENT-18130,Vectofinimmo France,HR Director,buyer,adresse_perso,0,0,0
CON-041605,ENT-05873,FlexifinWorks SAS,HR Officer,utilisateur,sans_adresse,1,0,5
CON-035702,ENT-00897,Axiodordigital Group,Executive Assistant,bruit,adresse_perso,0,0,0
CON-047015,ENT-08224,Ivorobelconsulting & Co,COO,buyer,sans_adresse,0,0,0
CON-006192,ENT-07157,Haldelexservices SARL,Office Manager,bruit,sans_adresse,0,0,0
CON-044314,ENT-17365,TerralexEnergie Group,Office Manager,bruit,sans_adresse,0,0,0
CON-031014,ENT-00178,AltalexPartners SAS,Talent Acquisition Specialist,utilisateur,sans_adresse,0,0,0
CON-008295,ENT-09557,Lorrigorworks,Talent Acquisition Specialist,utilisateur,adresse_perso,0,0,0
CON-039753,ENT-14576,RapinexFood France,Head of People,buyer,adresse_perso,0,0,0
CON-057793,ENT-16792,SylvaviaServices Group,CHRO,buyer,sans_adresse,1,1,3
CON-072261,ENT-15971,Soliviaretail,People Ops Manager,champion,sans_adresse,1,0,4
CON-018821,ENT-01540,Belfoquipharma,Head of Talent Acquisition,buyer,adresse_perso,0,0,0
CON-012297,ENT-10491,MavinexLabs & Co,Office Manager,bruit,sans_adresse,1,0,6
CON-015300,ENT-18574,Vertigorsoft,,sans_titre,adresse_perso,0,0,0
CON-058435,ENT-14815,RoccadorHub SA,Head of HR Operations,buyer,adresse_perso,1,1,2
CON-025581,ENT-13821,Primoquiretail SA,Compensation & Benefits Manager,champion,sans_adresse,0,0,0
CON-069777,ENT-12923,OvalilumWorks SARL,Chief People Officer,buyer,sans_adresse,0,0,0
CON-001018,ENT-01478,Belfonexforge Group,Head of Talent Acquisition,buyer,adresse_perso,0,0,0
CON-030707,ENT-13678,PrimohalMobility France,Directeur RH,buyer,adresse_perso,0,0,0
CON-047824,ENT-13602,PrimodorIndustries SARL,CHRO,buyer,sans_adresse,0,0,0
CON-039438,ENT-17060,TalopraLabs & Co,Executive Assistant,bruit,adresse_perso,0,0,0
CON-002531,ENT-03757,Doriocallabs France,Talent Acquisition Specialist,utilisateur,sans_adresse,0,0,0
CON-015617,ENT-18749,VertiquiTech,People Ops Manager,champion,adresse_perso,0,0,0
CON-043047,ENT-18407,Vectotech SARL,Recruiter,utilisateur,adresse_perso,1,0,2
CON-049198,ENT-19039,Vespilexsystems Group,Talent Acquisition Specialist,utilisateur,adresse_perso,0,0,0
CON-057854,ENT-17015,Talomarpartners,HR Business Partner,champion,adresse_perso,1,0,4
CON-070363,ENT-02944,CorticalFlow,HR Intern,bruit,sans_adresse,0,0,0
CON-052586,ENT-05288,FabrisolEnergie,Chargee de recrutement,utilisateur,sans_adresse,0,0,0
CON-069387,ENT-11539,Nordiconsulting,Directeur RH,buyer,adresse_perso,1,0,2
